Title,Rating,Votes,Genre,Years,Runtime
Auf der anderen Seite,7.8,"31,832",Drama            ,(2007),122 min
Atonement,7.8,"269,523","Drama, Mystery, Romance            ",(2007),123 min
Drive,7.8,"610,360","Action, Drama            ",(I) (2011),100 min
American Gangster,7.8,"415,453","Biography, Crime, Drama            ",(2007),157 min
Avatar,7.8,"1,180,893","Action, Adventure, Fantasy            ",(2009),162 min
Mr. Nobody,7.8,"228,314","Drama, Fantasy, Romance            ",(2009),141 min
Apocalypto,7.8,"305,276","Action, Adventure, Drama            ",(2006),139 min
The Fall,7.8,"110,915","Adventure, Drama, Fantasy            ",(2006),117 min
Little Miss Sunshine,7.8,"463,914","Comedy, Drama            ",(2006),101 min
Hot Fuzz,7.8,"491,581","Action, Comedy, Mystery            ",(2007),121 min
The Curious Case of Benjamin Button,7.8,"628,698","Drama, Fantasy, Romance            ",(2008),166 min
Veer-Zaara,7.8,"51,823","Drama, Family, Musical            ",(2004),192 min
Adams æbler,7.8,"49,602","Comedy, Crime, Drama            ",(2005),94 min
Pride & Prejudice,7.8,"283,241","Drama, Romance            ",(2005),129 min
The World's Fastest Indian,7.8,"54,029","Biography, Drama, Sport            ",(2005),127 min
Tôkyô goddofâzâzu,7.8,"37,928","Animation, Adventure, Comedy            ",(2003),90 min
Serenity,7.8,"292,399","Action, Adventure, Sci-Fi            ",(2005),119 min
Kung fu,7.8,"135,550","Action, Comedy, Fantasy            ",(2004),99 min
Walk the Line,7.8,"245,430","Biography, Drama, Music            ",(2005),136 min
Ondskan,7.8,"37,782",Drama            ,(2003),113 min
The Notebook,7.8,"553,021","Drama, Romance            ",(2004),123 min
Diarios de motocicleta,7.8,"100,128","Adventure, Biography, Drama            ",(2004),126 min
Lilja 4-ever,7.8,"44,961","Crime, Drama            ",(2002),109 min
Les triplettes de Belleville,7.8,"53,828","Animation, Comedy, Drama            ",(2003),80 min
Gongdong gyeongbi guyeok JSA,7.8,"29,197","Action, Drama, Thriller            ",(2000),110 min
The Count of Monte Cristo,7.8,"135,443","Action, Adventure, Drama            ",(2002),131 min
Waking Life,7.8,"63,236","Animation, Drama, Fantasy            ",(2001),99 min
Remember the Titans,7.8,"209,507","Biography, Drama, Sport            ",(2000),113 min
Wo hu cang long,7.8,"264,122","Action, Adventure, Drama            ",(2000),120 min
Cast Away,7.8,"569,490","Adventure, Drama, Romance            ",(2000),143 min
The Insider,7.8,"168,211","Biography, Drama, Thriller            ",(1999),157 min
October Sky,7.8,"88,620","Biography, Drama, Family            ",(1999),108 min
Titanic,7.8,"1,122,087","Drama, Romance            ",(1997),194 min
Ta'm e guilass,7.8,"29,046",Drama            ,(1997),95 min
Gattaca,7.8,"295,115","Drama, Sci-Fi, Thriller            ",(1997),106 min
Breaking the Waves,7.8,"65,682",Drama            ,(1996),159 min
Ed Wood,7.8,"172,847","Biography, Comedy, Drama            ",(1994),127 min
Tombstone,7.8,"141,410","Action, Biography, Drama            ",(1993),130 min
The Sandlot,7.8,"87,561","Comedy, Drama, Family            ",(1993),101 min
The Remains of the Day,7.8,"72,080","Drama, Romance            ",(1993),134 min
Naked,7.8,"38,251","Comedy, Drama            ",(1993),131 min
The Fugitive,7.8,"285,639","Action, Crime, Drama            ",(1993),130 min
A Bronx Tale,7.8,"137,060","Crime, Drama            ",(1993),121 min
Batman: Mask of the Phantasm,7.8,"47,939","Animation, Action, Adventure            ",(1993),76 min
Lat sau san taam,7.8,"49,509","Action, Crime, Thriller            ",(1992),128 min
La double vie de Véronique,7.8,"47,096","Drama, Fantasy, Music            ",(1991),98 min
Zulu,7.7,"38,473","Drama, History, War            ",(1964),138 min
Goldfinger,7.7,"185,443","Action, Adventure, Thriller            ",(1964),110 min
The Birds,7.7,"183,552","Drama, Horror, Mystery            ",(1963),119 min
Cape Fear,7.7,"28,565","Drama, Thriller            ",(1962),106 min
Peeping Tom,7.7,"34,376","Drama, Horror, Thriller            ",(1960),101 min
The Magnificent Seven,7.7,"93,106","Action, Adventure, Western            ",(1960),128 min
Les yeux sans visage,7.7,"30,652","Drama, Horror            ",(1960),90 min
Invasion of the Body Snatchers,7.7,"48,428","Drama, Horror, Sci-Fi            ",(1956),80 min
Rebel Without a Cause,7.7,"88,586",Drama            ,(1955),111 min
The Ladykillers,7.7,"28,781","Comedy, Crime            ",(1955),91 min
The Caine Mutiny,7.7,"27,180","Drama, War            ",(1954),124 min
The Day the Earth Stood Still,7.7,"80,631","Drama, Sci-Fi            ",(1951),92 min
Fantasia,7.7,"93,797","Animation, Family, Fantasy            ",(1940),125 min
The Invisible Man,7.7,"33,989","Horror, Sci-Fi            ",(1933),71 min
Scarface,7.7,"27,386","Action, Crime, Drama            ",(1932),93 min
Dark Waters,7.6,"81,413","Biography, Drama, History            ",(2019),126 min
Searching,7.6,"157,275","Drama, Mystery, Thriller            ",(III) (2018),102 min
Once Upon a Time in... Hollywood,7.6,"672,119","Comedy, Drama            ",(2019),161 min
Nelyubov,7.6,"32,412",Drama            ,(2017),127 min
Busanhaeng,7.6,"204,138","Action, Horror, Thriller            ",(2016),118 min
